code_store;po_no;barcode;qty;modal_karton
358937;2522-PO-PM1-05-18;8999999049423;48;12127
358937;2522-PO-PM1-05-18;8999999049416;48;12127
358937;2522-PO-PM1-05-18;8999999047092;48;13375
358937;2522-PO-PM1-05-18;8999999047108;48;13335
358937;2522-PO-PM1-05-18;8999999049447;72;13376
358937;2522-PO-PM1-05-18;8999999049478;24;13335
358937;2522-PO-PM1-05-18;8999999049485;48;12127
358937;2522-PO-PM1-05-18;8999999049508;48;12127
358937;2522-PO-PM1-05-18;8999999519865;48;13464
358937;2522-PO-PM1-05-18;8999999519872;48;13464
358937;2522-PO-PM1-05-18;8999999521028;48;13464
