code_store;po_no;barcode;qty;modal_karton
358970;2515-PO-PM1-05-18;8999999707835;144;5206
358970;2515-PO-PM1-05-18;8851932371131;48;17684
358970;2515-PO-PM1-05-18;9300830008704;24;30611
358970;2515-PO-PM1-05-18;8999999005580;72;14407
358970;2515-PO-PM1-05-18;8999999027865;24;14453
358970;2515-PO-PM1-05-18;8999999030636;48;11545
358970;2515-PO-PM1-05-18;8999999030575;48;22330
358970;2515-PO-PM1-05-18;8999999046828;48;22330
358970;2515-PO-PM1-05-18;8999999026387;120;10234
358970;2515-PO-PM1-05-18;8999999001216;72;7046
